web_scraper_order,web_scraper_start_url,autres_animaux,nom,prix,adresse,image
"1771238007-24","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-3395087"
"1771238007-25","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-3336754"
"1771238007-26","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/peruche-ondulee-3803986"
"1771238007-27","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-4194617"
"1771238007-28","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-4049517"
"1771238007-29","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruche-3321530"
"1771238007-30","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-inseparables-2896567"
"1771238010-31","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425","","","","https://sn.coinafrique.com/profil/884bbde6-c493-48ba-bd25-37d8c8a1c231"
"1771238010-32","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425","","","","https://sn.coinafrique.com/profil/884bbde6-c493-48ba-bd25-37d8c8a1c231"
"1771238012-33","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779","","","","https://sn.coinafrique.com/profil/4b66799e-273f-4cf7-97da-e4bb11131300"
